id,cam_id,sector,label,confidence,severity,timestamp,thumbnail_path,status,created_at,track_id
1842,CAM-01,Sector A,Person,0.62,High,12:45:47,cam_1_1cc1a6.jpg,Pending,2026-09-10T12:45:47.631530,-1
1841,CAM-04,Sector B,Vehicle,0.85,Medium,12:45:46,cam_4_00efdb.jpg,Pending,2026-09-10T12:45:46.750205,-1
1840,CAM-02,Sector B,Vehicle,0.67,Medium,12:45:45,cam_2_d32fcb.jpg,Pending,2026-09-10T12:45:45.850938,-1
1839,CAM-01,Sector A,Person,0.55,High,12:45:44,cam_1_157ba0.jpg,Pending,2026-09-10T12:45:44.431352,-1
1838,CAM-04,Sector B,Person,0.87,High,12:45:43,cam_4_6c989c.jpg,Pending,2026-09-10T12:45:43.721870,-1
1837,CAM-01,Sector A,Person,0.61,High,12:45:41,cam_1_6f4535.jpg,Pending,2026-09-10T12:45:41.205964,-1
1836,CAM-02,Sector B,Vehicle,0.76,Medium,12:45:41,cam_2_97b73b.jpg,Pending,2026-09-10T12:45:41.025079,-1
1835,CAM-04,Sector B,Person,0.83,High,12:45:40,cam_4_0ae870.jpg,Pending,2026-09-10T12:45:40.654175,-1
1834,CAM-04,Sector B,Vehicle,0.81,Medium,12:45:37,cam_4_9395f7.jpg,Pending,2026-09-10T12:45:37.529117,-1
1833,CAM-04,Sector B,Vehicle,0.81,Medium,12:45:34,cam_4_951947.jpg,Pending,2026-09-10T12:45:34.361849,-1
1832,CAM-02,Sector B,Vehicle,0.72,Medium,12:45:33,cam_2_396939.jpg,Pending,2026-09-10T12:45:33.862479,-1
1831,CAM-01,Sector A,Person,0.54,High,12:45:32,cam_1_3d00cd.jpg,Pending,2026-09-10T12:45:32.663715,-1
1830,CAM-04,Sector B,Vehicle,0.79,Medium,12:45:31,cam_4_aca27c.jpg,Pending,2026-09-10T12:45:31.258743,-1
1829,CAM-02,Sector B,Vehicle,0.59,Medium,12:45:30,cam_2_be7d5e.jpg,Pending,2026-09-10T12:45:30.608858,-1
1828,CAM-01,Sector A,Person,0.77,High,12:45:29,cam_1_6c6a7b.jpg,Pending,2026-09-10T12:45:29.643245,-1
1827,CAM-04,Sector B,Person,0.84,High,12:45:28,cam_4_adba1a.jpg,Pending,2026-09-10T12:45:28.065200,-1
1826,CAM-02,Sector B,Vehicle,0.81,Medium,12:45:27,cam_2_0f37d9.jpg,Pending,2026-09-10T12:45:27.456129,-1
1825,CAM-01,Sector A,Person,0.7,High,12:45:26,cam_1_1f548d.jpg,Pending,2026-09-10T12:45:26.490528,-1
1824,CAM-04,Sector B,Vehicle,0.67,Medium,12:45:25,cam_4_3fea76.jpg,Pending,2026-09-10T12:45:25.053392,-1
1823,CAM-02,Sector B,Vehicle,0.76,Medium,12:45:24,cam_2_03e48c.jpg,Pending,2026-09-10T12:45:24.256888,-1
1822,CAM-01,Sector A,Person,0.57,High,12:45:23,cam_1_34c414.jpg,Pending,2026-09-10T12:45:23.457074,-1
1821,CAM-04,Sector B,Person,0.76,High,12:45:21,cam_4_24ac02.jpg,Pending,2026-09-10T12:45:21.798527,-1
1820,CAM-02,Sector B,Vehicle,0.81,Medium,12:45:21,cam_2_ecb094.jpg,Pending,2026-09-10T12:45:21.161962,-1
1819,CAM-01,Sector A,Person,0.59,High,12:45:20,cam_1_237d76.jpg,Pending,2026-09-10T12:45:20.260253,-1
1818,CAM-04,Sector B,Person,0.78,High,12:45:18,cam_4_948c6b.jpg,Pending,2026-09-10T12:45:18.621932,-1
1817,CAM-01,Sector A,Person,0.55,High,12:45:17,cam_1_b0fc07.jpg,Pending,2026-09-10T12:45:17.072340,-1
1816,CAM-04,Sector B,Person,0.82,High,12:45:15,cam_4_426a34.jpg,Pending,2026-09-10T12:45:15.438572,-1
1815,CAM-02,Sector B,Vehicle,0.77,Medium,12:45:14,cam_2_40252f.jpg,Pending,2026-09-10T12:45:14.442801,-1
1814,CAM-01,Sector A,Person,0.66,High,12:45:13,cam_1_1b0a8a.jpg,Pending,2026-09-10T12:45:13.930585,-1
1813,CAM-04,Sector B,Person,0.76,High,12:45:12,cam_4_c7fb11.jpg,Pending,2026-09-10T12:45:12.273528,-1
1812,CAM-02,Sector B,Vehicle,0.82,Medium,12:45:11,cam_2_a63309.jpg,Pending,2026-09-10T12:45:11.432399,-1
1811,CAM-04,Sector B,Person,0.82,High,12:45:09,cam_4_76643f.jpg,Pending,2026-09-10T12:45:09.104253,-1
1810,CAM-02,Sector B,Vehicle,0.77,Medium,12:45:08,cam_2_cb0250.jpg,Pending,2026-09-10T12:45:08.220994,-1
1809,CAM-04,Sector B,Person,0.76,High,12:45:05,cam_4_810430.jpg,Pending,2026-09-10T12:45:05.978053,-1
1808,CAM-02,Sector B,Vehicle,0.52,Medium,12:45:05,cam_2_754bae.jpg,Pending,2026-09-10T12:45:05.156747,-1
1807,CAM-04,Sector B,Vehicle,0.86,Medium,12:45:02,cam_4_85bedf.jpg,Pending,2026-09-10T12:45:02.652653,-1
1806,CAM-01,Sector A,Person,0.69,High,12:45:02,cam_1_8a3d51.jpg,Pending,2026-09-10T12:45:02.339399,-1
1805,CAM-02,Sector B,Vehicle,0.79,Medium,12:45:00,cam_2_e3b689.jpg,Pending,2026-09-10T12:45:00.915563,-1
1804,CAM-04,Sector B,Vehicle,0.81,Medium,12:44:59,cam_4_05a3c3.jpg,Pending,2026-09-10T12:44:59.604237,-1
1803,CAM-01,Sector A,Person,0.77,High,12:44:59,cam_1_cac18a.jpg,Pending,2026-09-10T12:44:59.315662,-1
1802,CAM-02,Sector B,Vehicle,0.76,Medium,12:44:56,cam_2_4f8afe.jpg,Pending,2026-09-10T12:44:56.623981,-1
1801,CAM-04,Sector B,Vehicle,0.87,Medium,12:44:56,cam_4_276a77.jpg,Pending,2026-09-10T12:44:56.436663,-1
1800,CAM-01,Sector A,Person,0.67,High,12:44:56,cam_1_e5c9e0.jpg,Pending,2026-09-10T12:44:56.286287,-1
1799,CAM-04,Sector B,Person,0.8,High,12:44:53,cam_4_66b4ec.jpg,Pending,2026-09-10T12:44:53.200736,-1
1798,CAM-01,Sector A,Person,0.64,High,12:44:53,cam_1_c7dc72.jpg,Pending,2026-09-10T12:44:53.078561,-1
